Iteration,Model Accuracy,Final Subnetwork
1,81.25,"['AHI1', 'AKAP9', 'ALMS1', 'C2CD3', 'CC2D2A', 'CDK5RAP2', 'CENPJ', 'CEP135',
 'CEP152', 'CEP164', 'CEP192', 'CEP250', 'CEP57', 'CEP63', 'CEP78', 'CEP97',
 'CKAP5', 'FBF1', 'HAUS5', 'HAUS6', 'INVS', 'IQCB1', 'KIF24', 'NEDD1', 'NINL',
 'NME7', 'NPHP1', 'NPHP4', 'NUMA1', 'ODF2', 'PCM1', 'PCNT', 'PLK2', 'PLK4',
 'RPGRIP1', 'RPGRIP1L', 'SASS6', 'SCLT1', 'SDCCAG8', 'SFI1', 'TACC1', 'TACC2',
 'TBCD', 'TCTN2', 'TMEM67', 'TUBB2B', 'TUBGCP2', 'TUBGCP3', 'TUBGCP4', 'TUBGCP6']"
2,83.75,"['CLOCK', 'CRY2', 'NAMPT', 'NMNAT2', 'NPAS2', 'PER1', 'PER2', 'PER3']"
3,86.25,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
4,78.75,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
5,73.75,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
6,80.0,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
7,75.0,"['MGAT3', 'MGAT4B', 'MGAT5', 'MGAT5B']"
8,61.25000000000001,"['MGAT3', 'MGAT4B', 'MGAT5', 'MGAT5B']"
9,88.75,"['ABT1', 'BMS1', 'DCAF13', 'DDX18', 'DDX21', 'DDX24', 'DIS3', 'DIS3L', 'DNTTIP2',
 'EDC4', 'ESF1', 'EXOSC9', 'FBL', 'FTSJ3', 'GNL2', 'HEATR1', 'MPHOSPH10',
 'MYBBP1A', 'NAT10', 'NCL', 'NMD3', 'NOL10', 'NOL6', 'NOP14', 'NOP2', 'NOP58',
 'PATL1', 'PDCD11', 'PES1', 'PIH1D1', 'POLR1B', 'PWP2', 'RBM28', 'RRP1', 'RRP12',
 'RRP9', 'SKIV2L', 'TBL3', 'TSR1', 'UTP15', 'UTP20', 'WDR3', 'WDR75', 'XRN1',
 'ZFP36', 'ZFP36L1']"
10,85.0,"['BOC', 'CLUAP1', 'CREM', 'DYNC2H1', 'DYNC2LI1', 'FHL5', 'GLI1', 'GLI2', 'GLI3',
 'IFT122', 'IFT172', 'IFT81', 'IFT88', 'KIF17', 'KIF27', 'KIF3A', 'KIF3C', 'KIF7',
 'KIFAP3', 'MTSS1', 'PTCH1', 'SMO', 'SPOP', 'TRAF3IP1', 'TTC21B', 'WDR19', 'WDR35']"
